#gene	origin	count
HDAC1	imputed	7
NHP2L1	imputed	11
RHOA	imputed	14
HIST1H2BO	imputed	4
TP53	imputed	25
POLR2A	imputed	17
UBC	imputed	31
PPP2CA	imputed	10
UBB	imputed	19
CREBBP	imputed	5
MYC	imputed	7
ESR1	imputed	6
PPP2R5D	group1	4
H2AFB1	group1	4
BCL2	group1	4
TCEB1	group1	13
NCBP1	group1	11
RPS4X	group1	1
CUL4A	group1	3
USP3	group1	2
SNRPC	group1	3
TP53BP1	group1	2
AGO2	group1	8
RPS14	group1	3
UBE2I	group1	16
HIST2H2BE	group1	13
RPS9	group1	5
SH3KBP1	group1	1
UBA52	group1	26
CDC42	group1	14
POLR1C	group1	4
RPS27A	group1	29
GNB1	group1	17
POLR2E	group1	7
VHL	group1	1
RPL23A	group1	6
EDN1	group1	2
AKT1	group1	10
