id	origin	count
LCK	group2	15
INS	imputed	29
PTAFR	imputed	32
GNGT1	both	56
HMOX2	group2	5
GNAI1	group2	21
JUN	group2	25
SNAP25	group2	19
APP	imputed	49
STAT3	imputed	34
CACNB2	both	1
PENK	group2	26
GNB3	group2	27
AGT	both	27
VAMP2	imputed	11
PIK3CA	imputed	43
CDH2	imputed	10
MAP2K6	both	2
PMCH	both	9
SAA1	group2	8
KNG1	group2	41
CHRM1	group2	22
SHC1	imputed	6
IL6	group2	20
FABP1	group2	1
CXCR4	imputed	16
AVP	group2	19
GNB1	imputed	65
POMC	group2	26
MAPK1	imputed	31
ATP6AP2	group2	2
MYC	imputed	5
S1PR1	group2	9
ADAM10	imputed	23
GNB5	imputed	13
PIK3R1	group2	40
FPR2	group2	30
RAP1A	imputed	11
